POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,33,44,77,16,10,3,4,55,14,18,11,99,22,7,63,31,6,47,9,5
LAP 1,33,44,16,77,10,4,3,14,18,55,7,99,31,5,22,63,6,47,11,
LAP 2,33,44,16,77,10,4,3,14,18,55,7,99,31,5,22,63,6,47,11,
LAP 3,33,44,16,77,10,4,3,14,18,55,7,99,31,5,22,63,6,47,11,
LAP 4,33,44,16,77,4,3,14,18,55,99,7,31,5,63,11,22,6,10,47,
LAP 5,33,44,16,77,4,3,14,18,55,99,7,31,63,5,11,22,6,47,10,
LAP 6,33,44,77,16,4,3,14,18,55,99,7,31,5,11,63,22,6,47,10,
LAP 7,33,44,77,16,4,3,14,18,55,99,7,31,5,11,22,63,6,47,10,
LAP 8,33,44,77,16,4,3,14,18,55,99,7,31,11,5,22,63,6,47,10,
LAP 9,33,44,77,4,16,3,18,14,55,99,7,31,11,22,5,63,6,47,10,
LAP 10,33,44,77,4,16,3,18,14,55,99,7,11,31,22,5,63,6,47,10,
LAP 11,33,44,77,4,16,3,18,55,14,99,7,11,31,22,5,63,6,47,10,
LAP 12,33,44,77,3,4,16,55,18,7,11,99,31,22,5,63,6,14,47,10,
LAP 13,33,44,77,3,55,11,7,22,31,5,6,63,4,16,14,18,47,99,10,
LAP 14,33,77,55,44,11,22,5,4,16,14,3,18,6,7,31,99,47,63,10,
LAP 15,33,77,44,11,55,5,22,4,16,3,14,18,7,31,99,63,10,6,47,
LAP 16,33,77,44,11,4,16,5,3,14,18,55,7,31,22,99,63,10,6,47,
LAP 17,33,44,11,77,4,16,5,3,18,14,55,7,31,22,99,63,10,6,47,
LAP 18,44,33,77,11,4,16,5,3,18,14,55,7,31,22,99,63,6,10,47,
LAP 19,44,33,77,11,4,16,3,5,18,14,55,7,31,22,99,63,6,10,47,
LAP 20,44,33,77,4,16,3,18,5,14,55,7,11,31,22,99,63,6,47,10,
LAP 21,44,33,77,4,16,3,18,55,11,5,14,7,22,31,99,63,6,47,10,
LAP 22,44,33,77,4,16,3,18,55,11,14,7,5,22,31,99,63,6,47,10,
LAP 23,44,33,77,4,16,3,18,55,11,7,14,5,22,31,99,63,6,47,10,
LAP 24,44,33,77,4,16,3,18,55,11,7,14,22,31,5,99,63,6,47,10,
LAP 25,44,33,77,4,16,3,18,11,55,7,14,22,31,99,63,6,5,47,10,
LAP 26,44,33,77,4,16,3,18,11,55,7,22,14,31,99,63,6,5,47,10,
LAP 27,44,33,77,4,16,3,11,18,55,7,22,14,31,99,63,6,5,10,47,
LAP 28,33,44,77,4,16,3,11,55,18,7,22,14,31,99,63,6,5,10,47,
LAP 29,33,77,44,4,16,3,11,55,7,22,31,14,99,63,18,5,6,10,47,
LAP 30,33,77,44,4,16,3,11,55,22,31,99,63,18,7,5,6,14,10,47,
LAP 31,33,44,4,16,77,3,11,55,22,31,18,63,7,5,14,6,99,10,47,
LAP 32,33,44,4,77,16,11,3,55,22,18,63,7,5,99,31,14,6,10,47,
LAP 33,33,44,4,77,11,55,16,22,3,18,63,7,5,31,99,10,47,6,,
LAP 34,33,44,77,11,55,4,16,3,18,63,7,5,22,31,99,10,6,47,,,
LAP 35,33,44,77,11,55,4,16,3,18,63,7,5,22,31,99,10,6,47,,,
LAP 36,33,44,77,11,55,4,16,3,18,7,22,5,63,31,99,10,6,47,,,
LAP 37,33,44,77,11,4,55,16,3,18,7,22,5,31,99,10,63,6,47,,,
LAP 38,33,44,77,11,4,16,3,18,55,22,7,5,31,99,10,63,6,47,,,
LAP 39,33,44,77,4,16,3,18,11,55,22,7,5,31,99,63,10,6,47,,,
LAP 40,44,33,77,4,16,3,11,18,55,22,7,5,31,99,63,10,6,47,,,
LAP 41,44,33,77,4,16,3,11,18,55,22,7,5,31,99,63,10,6,47,,,
LAP 42,44,33,77,4,16,3,11,18,55,22,7,5,31,99,63,10,6,47,,,
LAP 43,44,33,77,4,16,3,11,18,55,22,7,5,31,99,63,10,6,47,,,
LAP 44,44,33,77,4,16,11,3,18,55,22,7,99,5,31,63,10,6,47,,,
LAP 45,44,33,77,4,16,11,3,18,55,22,7,99,5,31,63,10,6,47,,,
LAP 46,44,33,77,4,16,11,3,55,18,22,7,99,5,31,63,10,6,47,,,
LAP 47,44,33,77,4,16,11,3,55,18,22,7,99,31,5,63,10,6,47,,,
LAP 48,44,33,77,4,16,11,3,55,18,22,7,99,31,5,63,10,6,47,,,
LAP 49,44,33,77,4,16,11,3,55,18,22,7,99,31,5,63,10,6,47,,,
LAP 50,44,33,77,4,16,11,3,55,18,22,7,99,31,5,63,10,47,6,,,
LAP 51,44,33,77,4,16,11,3,55,18,22,7,99,31,63,5,10,47,6,,,
LAP 52,44,33,77,4,11,16,3,55,18,22,7,99,31,63,5,10,47,,,,
LAP 53,44,33,77,4,11,16,3,55,18,22,7,99,31,63,5,47,,,,,
LAP 54,44,33,77,4,11,16,3,55,18,22,7,99,31,63,5,47,,,,,
LAP 55,44,33,77,4,11,16,3,55,18,22,7,99,31,63,5,47,,,,,
LAP 56,44,33,77,4,11,16,3,55,22,18,7,,,,,,,,,
